[ 2025-12-30 19:12:49,914 ] 20 root - INFO - Initiate the data ingestion
[ 2025-12-30 19:13:09,213 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-30 19:13:09,213 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-30 19:13:09,213 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-30 19:13:09,242 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-30 19:13:09,243 ] 22 root - INFO - Data Initiation Completed
[ 2025-12-30 19:13:09,250 ] 26 root - INFO - Initiate the data validation
[ 2025-12-30 19:13:09,359 ] 32 root - INFO - Required number of columns:2
[ 2025-12-30 19:13:09,361 ] 33 root - INFO - Data frame has columns:1
[ 2025-12-30 19:13:09,361 ] 32 root - INFO - Required number of columns:2
[ 2025-12-30 19:13:09,361 ] 33 root - INFO - Data frame has columns:1
[ 2025-12-30 19:13:09,420 ] 28 root - INFO - data validation completed
[ 2025-12-30 19:13:09,420 ] 31 root - INFO - data transformation started
[ 2025-12-30 19:13:09,420 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-30 19:13:09,420 ] 65 root - INFO - Starting data transformation
[ 2025-12-30 19:13:09,453 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-30 19:13:09,453 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-30 19:13:09,471 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-30 19:13:09,476 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-30 19:13:09,476 ] 35 root - INFO - data transformation completed
